term,gene
Adrenergic signaling in cardiomyocytes,ATF6B
Adrenergic signaling in cardiomyocytes,CAMK2A
Adrenergic signaling in cardiomyocytes,MAPK11
Adrenergic signaling in cardiomyocytes,ATP1B3
Adrenergic signaling in cardiomyocytes,ATP2B1
Adrenergic signaling in cardiomyocytes,ADCY5
Adrenergic signaling in cardiomyocytes,CALM2
Adrenergic signaling in cardiomyocytes,ATP1A4
Adrenergic signaling in cardiomyocytes,CACNB3
Adrenergic signaling in cardiomyocytes,RAPGEF4
Adrenergic signaling in cardiomyocytes,PPP2R5C
Adrenergic signaling in cardiomyocytes,CREB3L2
Adrenergic signaling in cardiomyocytes,CACNA1C
Adrenergic signaling in cardiomyocytes,CACNA2D3
Adrenergic signaling in cardiomyocytes,ATP2B2
Adrenergic signaling in cardiomyocytes,CACNA2D4
Adrenergic signaling in cardiomyocytes,SLC8A3
Adrenergic signaling in cardiomyocytes,FXYD2
Adrenergic signaling in cardiomyocytes,AKT3
Adrenergic signaling in cardiomyocytes,RAPGEF3
Adrenergic signaling in cardiomyocytes,TPM2
Adrenergic signaling in cardiomyocytes,ADCY7
Adrenergic signaling in cardiomyocytes,SLC8A2
Adrenergic signaling in cardiomyocytes,PIK3R5
Adrenergic signaling in cardiomyocytes,ADCY1
Adrenergic signaling in cardiomyocytes,PPP2R2A
Adrenergic signaling in cardiomyocytes,ADCY6
Adrenergic signaling in cardiomyocytes,MYH7
Adrenergic signaling in cardiomyocytes,ATP2A3
Adrenergic signaling in cardiomyocytes,ADRB1
Adrenergic signaling in cardiomyocytes,CREB3
Adrenergic signaling in cardiomyocytes,PPP1CB
Adrenergic signaling in cardiomyocytes,ATP1B4
Adrenergic signaling in cardiomyocytes,CREB5
Adrenergic signaling in cardiomyocytes,MYL3
Adrenergic signaling in cardiomyocytes,PLCB3
Adrenergic signaling in cardiomyocytes,CALM1
Adrenergic signaling in cardiomyocytes,ATP2B4
Adrenergic signaling in cardiomyocytes,ADCY2
Adrenergic signaling in cardiomyocytes,PLCB1
Adrenergic signaling in cardiomyocytes,CAMK2G
Adrenergic signaling in cardiomyocytes,PPP2R2D
Adrenergic signaling in cardiomyocytes,ADCY4
Adrenergic signaling in cardiomyocytes,ATP2A1
Adrenergic signaling in cardiomyocytes,PPP2CB
African trypanosomiasis,IDO1
African trypanosomiasis,MYD88
African trypanosomiasis,IGH
African trypanosomiasis,VCAM1
African trypanosomiasis,TNF
African trypanosomiasis,IL12A
African trypanosomiasis,HBA2
African trypanosomiasis,IL12B
African trypanosomiasis,NPPA
African trypanosomiasis,HBA1
African trypanosomiasis,IL6
African trypanosomiasis,F2RL1
African trypanosomiasis,HBB
African trypanosomiasis,PLCB2
African trypanosomiasis,IDO2
African trypanosomiasis,LAMA4
African trypanosomiasis,HPR
African trypanosomiasis,PLCB1
African trypanosomiasis,IL10
African trypanosomiasis,FAS
African trypanosomiasis,GNAQ
African trypanosomiasis,SELE
African trypanosomiasis,TLR9
African trypanosomiasis,PRKCB
African trypanosomiasis,IL1B
African trypanosomiasis,KNG1
African trypanosomiasis,IFNG
African trypanosomiasis,FASLG
African trypanosomiasis,PLCB3
African trypanosomiasis,ICAM1
African trypanosomiasis,APOA1
African trypanosomiasis,PRKCA
African trypanosomiasis,PLCB4
African trypanosomiasis,THOP1
African trypanosomiasis,APOL1
African trypanosomiasis,PRKCG
African trypanosomiasis,IL18
"Alanine, aspartate and glutamate metabolism",GLUD1
"Alanine, aspartate and glutamate metabolism",GLS2
"Alanine, aspartate and glutamate metabolism",GLS
"Alanine, aspartate and glutamate metabolism",ASS1
"Alanine, aspartate and glutamate metabolism",GOT1L1
"Alanine, aspartate and glutamate metabolism",CPS1
"Alanine, aspartate and glutamate metabolism",ASL
"Alanine, aspartate and glutamate metabolism",GLUD2
"Alanine, aspartate and glutamate metabolism",ADSS2
"Alanine, aspartate and glutamate metabolism",GFPT1
