term,gene
"Alanine, aspartate and glutamate metabolism",RIMKLA
"Alanine, aspartate and glutamate metabolism",NAT8L
"Alanine, aspartate and glutamate metabolism",ASNS
"Alanine, aspartate and glutamate metabolism",ASPA
"Alanine, aspartate and glutamate metabolism",NIT2
"Alanine, aspartate and glutamate metabolism",RIMKLB
"Alanine, aspartate and glutamate metabolism",GLUL
"Alanine, aspartate and glutamate metabolism",AGXT2
"Alanine, aspartate and glutamate metabolism",ALDH5A1
"Alanine, aspartate and glutamate metabolism",ASRGL1
"Alanine, aspartate and glutamate metabolism",DDO
"Alanine, aspartate and glutamate metabolism",ALDH4A1
"Alanine, aspartate and glutamate metabolism",GFPT2
"Alanine, aspartate and glutamate metabolism",ADSL
"Alanine, aspartate and glutamate metabolism",GOT1
"Alanine, aspartate and glutamate metabolism",GOT2
"Alanine, aspartate and glutamate metabolism",ADSS1
"Alanine, aspartate and glutamate metabolism",GPT
"Alanine, aspartate and glutamate metabolism",PPAT
"Alanine, aspartate and glutamate metabolism",AGXT
"Alanine, aspartate and glutamate metabolism",GAD2
"Alanine, aspartate and glutamate metabolism",GAD1
"Alanine, aspartate and glutamate metabolism",IL4I1
"Alanine, aspartate and glutamate metabolism",FOLH1
"Alanine, aspartate and glutamate metabolism",CAD
"Alanine, aspartate and glutamate metabolism",GPT2
"Alanine, aspartate and glutamate metabolism",ABAT
Alcoholic liver disease,CPT1B
Alcoholic liver disease,TCF7L1
Alcoholic liver disease,LPIN3
Alcoholic liver disease,RELA
Alcoholic liver disease,ADIPOR2
Alcoholic liver disease,MAPK11
Alcoholic liver disease,TICAM1
Alcoholic liver disease,CPT1C
Alcoholic liver disease,ADH4
Alcoholic liver disease,TRA2B
Alcoholic liver disease,PPARA
Alcoholic liver disease,NFKB1
Alcoholic liver disease,IFNA5
Alcoholic liver disease,ADH5
Alcoholic liver disease,MAPK14
Alcoholic liver disease,IL6
Alcoholic liver disease,CXCL3
Alcoholic liver disease,IRF3
Alcoholic liver disease,CPT1A
Alcoholic liver disease,TIRAP
Alcoholic liver disease,PRKAA2
Alcoholic liver disease,CYP2E1
Alcoholic liver disease,AKT2
Alcoholic liver disease,ADH1C
Alcoholic liver disease,IFNB1
Alcoholic liver disease,PRKAB1
Alcoholic liver disease,PRKAA1
Alcoholic liver disease,ADH6
Alcoholic liver disease,IFNA6
Alcoholic liver disease,FASN
Alcoholic liver disease,TRAF6
Alcoholic liver disease,ALDH1B1
Alcoholic liver disease,SREBF1
Alcoholic liver disease,MAPK12
Alcoholic liver disease,MAPK13
Alcoholic liver disease,TRA2A
Alcoholic liver disease,ALDH2
Alcoholic liver disease,ALDH7A1
Alcoholic liver disease,MAP3K5
Alcoholic liver disease,ACOX1
Alcoholic liver disease,CXCL1
Alcoholic liver disease,IFNA13
Alcoholic liver disease,FADD
Alcoholic liver disease,ACOX3
Alcoholic liver disease,FASLG
Alcoholic liver disease,FABP1
Alcoholic liver disease,IKBKB
Alcoholic liver disease,IFNA10
Alcoholic liver disease,ADH7
Alcoholic liver disease,TNFRSF1A
Alcoholic liver disease,IL17RA
Alcoholic liver disease,FAS
Alcoholic liver disease,MAPK8
Alcoholic liver disease,C1QB
Alcoholic liver disease,PRKAG2
Alcoholic liver disease,IFNA14
Alcoholic liver disease,RIPK1
Alcoholic liver disease,IFNA2
Alcoholic liver disease,CASP3
Alcoholic liver disease,TRAF3
Alcoholic liver disease,TAB3
Alcoholic liver disease,CD14
Alcoholic liver disease,PPARGC1A
Alcoholic liver disease,CHUK
Alcoholic liver disease,C1QA
Alcoholic liver disease,C2
Alcoholic liver disease,MAP2K7
Alcoholic liver disease,SCD
Alcoholic liver disease,MLYCD
Alcoholic liver disease,SCD5
Alcoholic liver disease,MAP2K3
Alcoholic liver disease,ACADM
Alcoholic liver disease,ALDH9A1
Alcoholic liver disease,TCF7L2
Alcoholic liver disease,IL17RC
Alcoholic liver disease,IL12A
Alcoholic liver disease,ALDH3A2
Alcoholic liver disease,TBK1
Alcoholic liver disease,MAP3K14
Alcoholic liver disease,IFNA8
Alcoholic liver disease,NFKBIA
Alcoholic liver disease,C5AR1
Alcoholic liver disease,TCF7
Alcoholic liver disease,MAP2K6
Alcoholic liver disease,ACADVL
Alcoholic liver disease,IFNA4
Alcoholic liver disease,C4A
Alcoholic liver disease,LBP
Alcoholic liver disease,C3
Alcoholic liver disease,SIRT1
Alcoholic liver disease,IFNA7
Alcoholic liver disease,C3AR1
Alcoholic liver disease,LEF1
Alcoholic liver disease,IL17A
Alcoholic liver disease,AKT3
Alcoholic liver disease,PRKAG1
Alcoholic liver disease,C5
Alcoholic liver disease,C4B
Alcoholic liver disease,MYD88
Alcoholic liver disease,C1QC
Alcoholic liver disease,CAMKK2
Alcoholic liver disease,IKBKG
Alcoholic liver disease,CCND1
Alcoholic liver disease,TAB1
Alcoholic liver disease,GSK3B
Alcoholic liver disease,TRADD
Alcoholic liver disease,MAP2K4
Alcoholic liver disease,ADIPOR1
Alcoholic liver disease,IRAK1
Alcoholic liver disease,ADH1B
Alcoholic liver disease,CASP8
Alcoholic liver disease,IFNA1
Alcoholic liver disease,CXCL8
Alcoholic liver disease,IKBKE
Alcoholic liver disease,IL1B
Alcoholic liver disease,LPIN2
Alcoholic liver disease,PRKAG3
Alcoholic liver disease,ACACA
Alcoholic liver disease,AKT1
Alcoholic liver disease,FOXO1
Alcoholic liver disease,TNF
Alcoholic liver disease,FOXO3
Alcoholic liver disease,IFNA21
Alcoholic liver disease,ADIPOQ
Alcoholic liver disease,MAP3K7
Alcoholic liver disease,CXCL2
Alcoholic liver disease,ACACB
Alcoholic liver disease,IL12B
Alcoholic liver disease,IRAK4
Alcoholic liver disease,MAPK10
Alcoholic liver disease,MIR217
Alcoholic liver disease,ADH1A
Alcoholic liver disease,IFNA17
Alcoholic liver disease,LPIN1
Alcoholic liver disease,NOX4
Alcoholic liver disease,CTNNB1
Alcoholic liver disease,TAB2
Alcoholic liver disease,IFNA16
Alcoholic liver disease,LY96
Alcoholic liver disease,MAPK9
Alcoholic liver disease,TLR4
Alcoholic liver disease,PRKAB2
Alcoholism,H2AC12
Alcoholism,H2AX
Alcoholism,H2AC15
Alcoholism,H2AC11
Alcoholism,H2AC14
Alcoholism,H2AC7
Alcoholism,H2AC21
Alcoholism,GNG10
Alcoholism,H2AC8
Alcoholism,CAMK4
Alcoholism,H2AZ1
Alcoholism,MACROH2A1
Alcoholism,HAT1
Alcoholism,ARAF
Alcoholism,H2AC25
Alcoholism,H2BC12
Alcoholism,SOS2
Alcoholism,SLC29A1
Alcoholism,GNB1
Alcoholism,SLC29A2
Alcoholism,H2AC13
Alcoholism,SLC29A3
Alcoholism,PKIA
Alcoholism,CAMKK1
Alcoholism,H2AZ2
Alcoholism,HDAC3
Alcoholism,BDNF
Alcoholism,H2AB2
Alcoholism,GNG3
Alcoholism,H2AC1
Alcoholism,HDAC9
Alcoholism,H2AB3
Alcoholism,GRIN2A
Alcoholism,H2AJ
Alcoholism,CALML6
Alcoholism,H2AC20
Alcoholism,GRB2
Alcoholism,H2AC18
Alcoholism,H3C7
Alcoholism,H2BC11
Alcoholism,TH
Alcoholism,GRIN3A
Alcoholism,H2AC17
Alcoholism,KRAS
Alcoholism,ADCY5
Alcoholism,ATF4
Alcoholism,NTRK2
Alcoholism,SHC2
Alcoholism,PPP1R1B
Alcoholism,HDAC5
Alcoholism,H2AC16
Alcoholism,DDC
Alcoholism,GNG5
Alcoholism,GNAS
Alcoholism,HDAC10
Alcoholism,H2AB1
Alcoholism,PPP1CB
Alcoholism,GNG2
Alcoholism,MAPK1
Alcoholism,H2AC6
Alcoholism,H2AC4
Alcoholism,H2AC19
Alcoholism,H4C14
Alcoholism,SOS1
Alcoholism,MACROH2A2
Alcoholism,PRKACG
Alcoholism,PPP1CC
Alcoholism,SLC18A2
Alcoholism,GRIN1
Alcoholism,GNGT1
Alcoholism,HDAC1
Alcoholism,H4C11
Alcoholism,DRD2
Alcoholism,H2BC1
Alcoholism,BRAF
Alcoholism,MAOB
Alcoholism,GNG11
Alcoholism,H2BW2
Alcoholism,H4C12
Alcoholism,PPP1CA
Alcoholism,H2BC10
Alcoholism,H2BC5
Alcoholism,H2BC3
Alcoholism,MAOA
Alcoholism,FOSB
Alcoholism,H2BC4
Alcoholism,HRAS
Alcoholism,HDAC2
Alcoholism,CREB3L2
Alcoholism,H4C6
Alcoholism,H2BC17
Alcoholism,H3C14
Alcoholism,H4C4
Alcoholism,SLC18A1
Alcoholism,GNAI1
Alcoholism,H2BC26
Alcoholism,CALM2
Alcoholism,GNB2
Alcoholism,SLC6A3
Alcoholism,NRAS
Alcoholism,H2BW1
Alcoholism,NPY
Alcoholism,H4C3
Alcoholism,GNG4
Alcoholism,GNB5
Alcoholism,GNB3
Alcoholism,H2BC9
Alcoholism,GNG7
Alcoholism,GRIN2B
Alcoholism,H2BC8
Alcoholism,H3-5
Alcoholism,H2BC18
Alcoholism,GNG8
Alcoholism,ATF6B
Alcoholism,CALML4
Alcoholism,H4C9
Alcoholism,H2BC13
Alcoholism,PRKACB
Alcoholism,H2BC12L
Alcoholism,H4C15
Alcoholism,HDAC8
Alcoholism,GNG13
Alcoholism,H3C13
Alcoholism,HDAC11
Alcoholism,H3-4
Alcoholism,HDAC7
Alcoholism,H2BC15
Alcoholism,CREB3L3
Alcoholism,CAMKK2
Alcoholism,GNGT2
Alcoholism,H2BC6
Alcoholism,GNG12
Alcoholism,CREB1
Alcoholism,H3-3A
Alcoholism,H3-3B
Alcoholism,H2BC7
Alcoholism,H2BC14
Alcoholism,ATF2
Alcoholism,CALM3
Alcoholism,PRKACA
Alcoholism,ADORA2B
Alcoholism,H3C15
Alcoholism,ADORA2A
Alcoholism,CREB5
Alcoholism,DRD1
Alcoholism,MAPK3
Alcoholism,GRIN2D
Alcoholism,H4C16
Alcoholism,CALML3
Alcoholism,H4C8
Alcoholism,GNB4
Alcoholism,CRH
Alcoholism,H3C3
Alcoholism,RAF1
Alcoholism,GRIN3B
Alcoholism,SHC4
Alcoholism,H3C2
Alcoholism,SHC3
Alcoholism,H3C10
Alcoholism,H3C6
Alcoholism,CREB3L4
Alcoholism,SHC1
Alcoholism,H3C11
Alcoholism,H4C2
Alcoholism,GRIN2C
Alcoholism,H3C8
Alcoholism,CALML5
Alcoholism,CREB3
Alcoholism,H3C12
Alcoholism,CREB3L1
Alcoholism,GNAI3
Alcoholism,GNAO1
Alcoholism,PDYN
Alcoholism,HDAC6
Alcoholism,H4C5
Alcoholism,histone H2B type F-S-like
Alcoholism,H4C13
Alcoholism,MAP2K1
Alcoholism,H2BC21
Alcoholism,H2BK1
Alcoholism,H3C4
Alcoholism,H4C7
Alcoholism,CALM1
Alcoholism,H3C1
Alcoholism,GNAI2
Alcoholism,H4C1
Alcoholism,HDAC4
Aldosterone synthesis and secretion,NPPA
Aldosterone synthesis and secretion,CREB5
Aldosterone synthesis and secretion,ATP2B3
Aldosterone synthesis and secretion,CACNA1H
Aldosterone synthesis and secretion,ADCY1
Aldosterone synthesis and secretion,CACNA1I
Aldosterone synthesis and secretion,CALML4
Aldosterone synthesis and secretion,CALM3
Aldosterone synthesis and secretion,ADCY7
Aldosterone synthesis and secretion,CALML6
Aldosterone synthesis and secretion,PLCB2
Aldosterone synthesis and secretion,ATF4
Aldosterone synthesis and secretion,ATP2B2
Aldosterone synthesis and secretion,ATP1B2
Aldosterone synthesis and secretion,AGTR1
Aldosterone synthesis and secretion,CYP11B2
Aldosterone synthesis and secretion,CYP11A1
Aldosterone synthesis and secretion,ADCY4
Aldosterone synthesis and secretion,PLCB1
Aldosterone synthesis and secretion,CACNA1C
Aldosterone synthesis and secretion,CAMK2G
Aldosterone synthesis and secretion,CACNA1S
Aldosterone synthesis and secretion,STAR
Aldosterone synthesis and secretion,ATP2B4
Aldosterone synthesis and secretion,ATF2
Aldosterone synthesis and secretion,PRKACA
Aldosterone synthesis and secretion,ATF6B
Aldosterone synthesis and secretion,GNAQ
Aldosterone synthesis and secretion,NPR1
Aldosterone synthesis and secretion,CAMK1
Aldosterone synthesis and secretion,CACNA1D
Aldosterone synthesis and secretion,PRKCA
Aldosterone synthesis and secretion,PRKCB
Aldosterone synthesis and secretion,ORAI1
Aldosterone synthesis and secretion,PLCB3
Aldosterone synthesis and secretion,PLCB4
Aldosterone synthesis and secretion,ATP1A2
Aldosterone synthesis and secretion,CALML3
Aldosterone synthesis and secretion,CAMK4
Aldosterone synthesis and secretion,CACNA1F
Aldosterone synthesis and secretion,CREB3
Aldosterone synthesis and secretion,ADCY3
Aldosterone synthesis and secretion,CAMK2A
Aldosterone synthesis and secretion,HSD3B1
Aldosterone synthesis and secretion,CYP21A2
Aldosterone synthesis and secretion,POMC
Aldosterone synthesis and secretion,CALM1
Aldosterone synthesis and secretion,CREB3L4
Aldosterone synthesis and secretion,PRKCG
Aldosterone synthesis and secretion,CALM2
Aldosterone synthesis and secretion,AGT
Aldosterone synthesis and secretion,ADCY9
Aldosterone synthesis and secretion,CAMK1D
Aldosterone synthesis and secretion,CACNA1G
Aldosterone synthesis and secretion,LIPE
Aldosterone synthesis and secretion,SCARB1
Aldosterone synthesis and secretion,MC2R
Aldosterone synthesis and secretion,CAMK2D
Aldosterone synthesis and secretion,ITPR1
Aldosterone synthesis and secretion,PRKCE
Aldosterone synthesis and secretion,CAMK1G
Aldosterone synthesis and secretion,GNA11
Aldosterone synthesis and secretion,PDE2A
Aldosterone synthesis and secretion,KCNK9
Aldosterone synthesis and secretion,NR4A2
Aldosterone synthesis and secretion,CREB1
Aldosterone synthesis and secretion,CREB3L1
Aldosterone synthesis and secretion,ATF1
Aldosterone synthesis and secretion,DAGLB
Aldosterone synthesis and secretion,DAGLA
Aldosterone synthesis and secretion,CALML5
Aldosterone synthesis and secretion,ATP1B1
Aldosterone synthesis and secretion,ADCY8
Aldosterone synthesis and secretion,ATP1A4
Aldosterone synthesis and secretion,ATP1A1
Aldosterone synthesis and secretion,ATP1B4
Aldosterone synthesis and secretion,GNAS
Aldosterone synthesis and secretion,CREB3L2
Aldosterone synthesis and secretion,KCNK3
Aldosterone synthesis and secretion,PRKACB
Aldosterone synthesis and secretion,CREB3L3
Aldosterone synthesis and secretion,KCNJ5
Aldosterone synthesis and secretion,HSD3B2
Aldosterone synthesis and secretion,ATP1B3
Aldosterone synthesis and secretion,PRKD1
Aldosterone synthesis and secretion,ATP2B1
Aldosterone synthesis and secretion,ATP1A3
Aldosterone synthesis and secretion,PRKACG
Aldosterone synthesis and secretion,ITPR2
Aldosterone synthesis and secretion,NR4A1
Aldosterone synthesis and secretion,ITPR3
Aldosterone synthesis and secretion,ADCY5
Aldosterone synthesis and secretion,LDLR
Aldosterone synthesis and secretion,PRKD3
Aldosterone synthesis and secretion,CAMK2B
Aldosterone synthesis and secretion,ADCY6
Aldosterone synthesis and secretion,PRKD2
Aldosterone synthesis and secretion,ADCY2
Aldosterone-regulated sodium reabsorption,ATP1A3
Aldosterone-regulated sodium reabsorption,PIK3R3
Aldosterone-regulated sodium reabsorption,IGF1
Aldosterone-regulated sodium reabsorption,FXYD2
Aldosterone-regulated sodium reabsorption,MAPK3
Aldosterone-regulated sodium reabsorption,PDPK1
Aldosterone-regulated sodium reabsorption,SGK1
Aldosterone-regulated sodium reabsorption,ATP1B3
Aldosterone-regulated sodium reabsorption,ATP1B4
Aldosterone-regulated sodium reabsorption,INS
Aldosterone-regulated sodium reabsorption,PIK3R1
Aldosterone-regulated sodium reabsorption,INSR
Aldosterone-regulated sodium reabsorption,SCNN1B
Aldosterone-regulated sodium reabsorption,SCNN1A
Aldosterone-regulated sodium reabsorption,ATP1A4
Aldosterone-regulated sodium reabsorption,PIK3CA
Aldosterone-regulated sodium reabsorption,MAPK1
Aldosterone-regulated sodium reabsorption,PRKCG
Aldosterone-regulated sodium reabsorption,PRKCA
Aldosterone-regulated sodium reabsorption,KCNJ1
Aldosterone-regulated sodium reabsorption,NR3C2
Aldosterone-regulated sodium reabsorption,FXYD4
Aldosterone-regulated sodium reabsorption,SLC9A3R2
Aldosterone-regulated sodium reabsorption,PRKCB
Aldosterone-regulated sodium reabsorption,PIK3R2
Aldosterone-regulated sodium reabsorption,PIK3CB
Aldosterone-regulated sodium reabsorption,PIK3CD
Aldosterone-regulated sodium reabsorption,SFN
Aldosterone-regulated sodium reabsorption,ATP1B1
Aldosterone-regulated sodium reabsorption,SCNN1G
Aldosterone-regulated sodium reabsorption,KRAS
Aldosterone-regulated sodium reabsorption,ATP1A1
Aldosterone-regulated sodium reabsorption,HSD11B2
Aldosterone-regulated sodium reabsorption,ATP1B2
Aldosterone-regulated sodium reabsorption,IRS1
Aldosterone-regulated sodium reabsorption,NEDD4L
Aldosterone-regulated sodium reabsorption,ATP1A2
Allograft rejection,HLA-DQA2
Allograft rejection,IL12B
Allograft rejection,CD86
Allograft rejection,GZMB
Allograft rejection,HLA-DQA1
Allograft rejection,CD80
Allograft rejection,HLA-DQB1
Allograft rejection,IL10
Allograft rejection,CD28
Allograft rejection,CD40
Allograft rejection,TNF
Allograft rejection,HLA-DPB1
Allograft rejection,CD40LG
Allograft rejection,IL4
Allograft rejection,PRF1
Allograft rejection,IGH
Allograft rejection,HLA-DMA
Allograft rejection,HLA-DRB4
Allograft rejection,HLA-DPA1
Allograft rejection,FASLG
Allograft rejection,HLA-DOB
Allograft rejection,FAS
Allograft rejection,HLA-DRB3
Allograft rejection,HLA-DOA
Allograft rejection,IL12A
Allograft rejection,HLA-A
Allograft rejection,HLA-B
Allograft rejection,HLA-C
Allograft rejection,HLA-DRA
Allograft rejection,HLA-DRB1
Allograft rejection,HLA-E
Allograft rejection,IFNG
Allograft rejection,HLA-DMB
Allograft rejection,HLA-F
Allograft rejection,IL2
Allograft rejection,IL5
Allograft rejection,HLA-G
Allograft rejection,HLA-DRB5
Alzheimer disease,GRIN2B
Alzheimer disease,SLC39A12
Alzheimer disease,SLC39A8
Alzheimer disease,SNCA
Alzheimer disease,SLC39A11
Alzheimer disease,BACE1
Alzheimer disease,KLC3
Alzheimer disease,TNFRSF1A
Alzheimer disease,HRAS
Alzheimer disease,CDK5R1
Alzheimer disease,SLC39A6
Alzheimer disease,PSMA8
Alzheimer disease,SLC39A7
Alzheimer disease,SLC39A9
Alzheimer disease,GSK3B
Alzheimer disease,BACE2
Alzheimer disease,CACNA1C
Alzheimer disease,LRP1
Alzheimer disease,APOE
Alzheimer disease,NDUFB6
Alzheimer disease,RTN4
Alzheimer disease,VDAC2
Alzheimer disease,SLC39A10
Alzheimer disease,TUBA4A
Alzheimer disease,NAE1
Alzheimer disease,KLC1
Alzheimer disease,PSMD6
Alzheimer disease,VDAC1
Alzheimer disease,IDE
Alzheimer disease,RTN3
Alzheimer disease,KLC2
Alzheimer disease,TUBB2A
Alzheimer disease,ADAM10
Alzheimer disease,KLC4
Alzheimer disease,APBB1
Alzheimer disease,SLC39A2
Alzheimer disease,TUBA3C
Alzheimer disease,SLC39A14
Alzheimer disease,TUBA8
Alzheimer disease,SLC39A3
Alzheimer disease,PLCB4
Alzheimer disease,SLC39A13
Alzheimer disease,SLC39A5
Alzheimer disease,SLC39A1
Alzheimer disease,CHRM3
Alzheimer disease,NCSTN
Alzheimer disease,MAPK10
Alzheimer disease,TUBAL3
Alzheimer disease,PSMB2
Alzheimer disease,COX7A2
Alzheimer disease,ITPR1
Alzheimer disease,TRAF2
Alzheimer disease,COX7B
Alzheimer disease,MAPK8
Alzheimer disease,COX7C
Alzheimer disease,PSMB3
Alzheimer disease,COX8A
Alzheimer disease,NDUFA8
Alzheimer disease,IRS4
Alzheimer disease,CYC1
Alzheimer disease,PSMB4
Alzheimer disease,MAPK3
Alzheimer disease,COX7B2
Alzheimer disease,COX7A1
Alzheimer disease,NDUFA9
Alzheimer disease,NDUFB11
Alzheimer disease,COX6C
Alzheimer disease,COX6B2
Alzheimer disease,NDUFA11
Alzheimer disease,AGER
Alzheimer disease,NDUFA10
Alzheimer disease,CDK5
Alzheimer disease,PSMA6
Alzheimer disease,COX4I1
Alzheimer disease,NDUFA7
Alzheimer disease,GRIN1
Alzheimer disease,COX6A1
Alzheimer disease,PSMA7
Alzheimer disease,COX6A2
Alzheimer disease,CSNK2A3
Alzheimer disease,COX6B1
Alzheimer disease,ITPR2
Alzheimer disease,PSMB1
Alzheimer disease,COX5B
Alzheimer disease,CYCS
Alzheimer disease,PSMD8
Alzheimer disease,IRS2
Alzheimer disease,COX3
Alzheimer disease,CYTB
Alzheimer disease,CSF1
Alzheimer disease,ND1
Alzheimer disease,ND2
Alzheimer disease,ND3
Alzheimer disease,ND4
Alzheimer disease,RAF1
Alzheimer disease,NDUFA4
Alzheimer disease,ND4L
Alzheimer disease,ND5
Alzheimer disease,ND6
Alzheimer disease,NDUFA1
Alzheimer disease,MME
Alzheimer disease,DDIT3
Alzheimer disease,NDUFA2
Alzheimer disease,PSMC2
Alzheimer disease,NDUFA12
Alzheimer disease,COX2
Alzheimer disease,MAPT
Alzheimer disease,PSMB5
Alzheimer disease,AKT3
Alzheimer disease,UQCRQ
Alzheimer disease,UQCR10
Alzheimer disease,PSMB6
Alzheimer disease,COX8C
Alzheimer disease,NDUFA6
Alzheimer disease,PSMC1
Alzheimer disease,NDUFS7
Alzheimer disease,UQCRHL
Alzheimer disease,PSMB7
Alzheimer disease,ATP6
Alzheimer disease,PPIF
Alzheimer disease,ATP8
Alzheimer disease,NDUFA5
Alzheimer disease,COX1
Alzheimer disease,ATP5PO
Alzheimer disease,UQCR11
Alzheimer disease,ATP5PD
Alzheimer disease,AKT1
Alzheimer disease,NDUFB4
Alzheimer disease,WNT1
Alzheimer disease,CASP7
Alzheimer disease,MTOR
Alzheimer disease,PSMD11
Alzheimer disease,WNT2
Alzheimer disease,NDUFB3
Alzheimer disease,NOX4
